Country,Disaster_Type,Severity,Evacuation_Capacity,Available_Shelters
Palau,Drought,8,8160,6
Romania,Storm,9,2188,6
Netherlands Antilles,Earthquake,3,9476,4
Faroe Islands,Drought,4,6620,9
Heard Island and McDonald Islands,Storm,4,1970,10
Estonia,Storm,7,3469,10
Central African Republic,Storm,1,8111,8
Pitcairn Islands,Storm,4,8255,5
Norfolk Island,Earthquake,7,2758,8
Kazakhstan,Storm,4,5049,2
Niger,Earthquake,10,1111,4
Kuwait,Flood,7,7992,6
Turkmenistan,Drought,4,2779,9
Thailand,Storm,3,5690,10
Wallis and Futuna,Flood,3,5914,6
Saint Lucia,Drought,3,2981,9
Poland,Drought,7,3538,8
Saint Vincent and the Grenadines,Drought,5,2827,4
Zambia,Flood,7,9501,6
Cape Verde,Earthquake,1,4441,10
Fiji,Flood,5,6479,7
Aruba,Storm,10,6674,6
Serbia,Storm,3,7684,4
Madagascar,Flood,2,9319,3
Chad,Drought,7,9363,4
Guam,Earthquake,2,5158,10
Iceland,Earthquake,8,7793,2
Turkmenistan,Earthquake,6,2243,7
Romania,Earthquake,7,5835,10
Pitcairn Islands,Drought,2,3912,4
Zimbabwe,Earthquake,7,7175,8
Lao People's Democratic Republic,Drought,7,9086,8
Svalbard & Jan Mayen Islands,Storm,7,4454,6
Tunisia,Drought,7,6945,3
Jersey,Storm,3,8189,2
Benin,Earthquake,6,4901,8
Heard Island and McDonald Islands,Flood,3,4881,6
Burkina Faso,Storm,3,5971,1
Nicaragua,Storm,4,8831,4
Italy,Drought,3,8421,8
Netherlands Antilles,Flood,10,3792,2
Korea,Storm,4,6940,1
Korea,Drought,9,1279,9
Argentina,Earthquake,6,4912,2
New Zealand,Storm,5,4309,8
Palau,Earthquake,6,1815,8
Moldova,Storm,2,7081,7
Guatemala,Storm,6,3654,1
Mongolia,Flood,9,1810,6
Gabon,Storm,3,8934,6
Antigua and Barbuda,Drought,10,1512,7
Greece,Earthquake,10,3950,6
Brazil,Earthquake,6,5829,4
Kenya,Earthquake,7,4139,4
Argentina,Storm,5,5383,9
Togo,Drought,1,3845,4
Rwanda,Storm,9,7160,10
Tanzania,Flood,6,5093,4
Afghanistan,Drought,6,5329,4
Cayman Islands,Storm,6,5363,7
Barbados,Storm,2,4409,5
Libyan Arab Jamahiriya,Flood,1,5989,3
Myanmar,Storm,1,7467,6
Dominica,Flood,1,1511,2
Chile,Storm,1,3679,9
Bulgaria,Drought,1,5366,10
Svalbard & Jan Mayen Islands,Flood,8,1270,9
Macao,Drought,7,1447,6
Saint Barthelemy,Drought,4,5469,9
Gabon,Drought,6,1043,4
Gambia,Earthquake,5,8526,1
Japan,Earthquake,4,6012,7
Haiti,Flood,5,3583,4
Israel,Drought,6,6410,2
Tunisia,Drought,2,4360,8
Saudi Arabia,Earthquake,4,3881,9
New Caledonia,Storm,7,3837,4
Italy,Drought,8,3628,8
Namibia,Earthquake,5,8981,7
Saint Vincent and the Grenadines,Flood,1,2000,8
Czech Republic,Flood,1,5888,10
Moldova,Storm,8,5020,7
Kiribati,Drought,4,4720,10
Papua New Guinea,Earthquake,4,6345,7
Antarctica (the territory South of 60 deg S),Earthquake,1,9442,8
New Caledonia,Storm,1,6898,9
Saint Helena,Earthquake,10,3622,6
Uruguay,Earthquake,5,2565,7
Ireland,Storm,5,1139,4
Thailand,Flood,6,9519,8
Israel,Storm,9,4642,3
Sudan,Storm,9,9149,8
Mali,Flood,1,7471,9
Italy,Flood,2,9857,3
Iran,Storm,6,1492,4
Cote d'Ivoire,Drought,10,1822,2
Serbia,Flood,10,6238,9
Guernsey,Storm,7,1339,2
Madagascar,Earthquake,2,2401,1
Holy See (Vatican City State),Drought,5,1490,1
Israel,Earthquake,1,8299,6
Malawi,Flood,5,1884,2
Bhutan,Drought,8,8124,6
Morocco,Storm,8,5081,1
Niger,Drought,8,1851,4
Saint Barthelemy,Flood,7,3297,9
Taiwan,Drought,3,3597,1
Ethiopia,Storm,7,7588,9
Congo,Storm,1,1876,10
Saint Helena,Drought,3,4004,5
Malawi,Storm,8,8162,7
Bhutan,Drought,8,5450,10
Bosnia and Herzegovina,Drought,3,2512,1
Solomon Islands,Drought,7,8335,2
Philippines,Drought,2,8713,8
Turks and Caicos Islands,Flood,4,9033,3
Taiwan,Storm,8,7345,7
Trinidad and Tobago,Drought,1,7231,4
Japan,Storm,6,6444,5
Croatia,Flood,5,9033,5
Yemen,Storm,6,2394,6
Slovenia,Storm,6,5863,1
Vietnam,Earthquake,4,3109,1
Eritrea,Earthquake,9,8156,9
British Indian Ocean Territory (Chagos Archipelago),Earthquake,1,8355,7
French Guiana,Drought,2,4575,7
Marshall Islands,Earthquake,6,5893,5
Norfolk Island,Earthquake,5,2263,9
Brunei Darussalam,Earthquake,2,5124,10
Zambia,Storm,6,8320,1
Maldives,Drought,1,5562,8
Gibraltar,Storm,7,4334,6
British Virgin Islands,Earthquake,9,2301,7
Sierra Leone,Flood,9,4703,4
Tuvalu,Drought,7,3970,10
Jamaica,Earthquake,4,9153,1
Turkmenistan,Flood,5,7949,5
Honduras,Drought,5,2400,3
Costa Rica,Flood,4,8627,2
Tanzania,Drought,7,3699,8
Czech Republic,Earthquake,6,8478,2
Eritrea,Storm,10,8930,1
United States of America,Flood,9,9061,3
Barbados,Flood,2,8758,8
